Begin -  Sat Feb 14 18:30:39 2015
row,switch,sw-port,chassis,node,node-port
1 , 1 , 1 , 1 , 1 ,IPMI
2 , 1 , 1 , 1 , 1 ,ge1
3 , 1 , 1 , 1 , 1 ,ge2
4 , 1 , 1 , 1 , 1 ,te1
5 , 1 , 1 , 1 , 1 ,te2
6 , 2 , 2 , 1 , 2 ,IPMI
7 , 2 , 2 , 1 , 2 ,ge1
8 , 2 , 2 , 1 , 2 ,ge2
9 , 2 , 2 , 1 , 2 ,te1
10 , 2 , 2 , 1 , 2 ,te2
11 , 3 , 3 , 1 , 3 ,IPMI
12 , 3 , 3 , 1 , 3 ,ge1
13 , 3 , 3 , 1 , 3 ,ge2
14 , 3 , 3 , 1 , 3 ,te1
15 , 3 , 3 , 1 , 3 ,te2
16 , 4 , 4 , 1 , 4 ,IPMI
17 , 4 , 4 , 1 , 4 ,ge1
18 , 4 , 4 , 1 , 4 ,ge2
19 , 4 , 4 , 1 , 4 ,te1
20 , 4 , 4 , 1 , 4 ,te2
21 , 5 , 5 , 2 , 1 ,IPMI
22 , 5 , 5 , 2 , 1 ,ge1
23 , 5 , 5 , 2 , 1 ,ge2
24 , 5 , 5 , 2 , 1 ,te1
25 , 5 , 5 , 2 , 1 ,te2
26 , 6 , 6 , 2 , 2 ,IPMI
27 , 6 , 6 , 2 , 2 ,ge1
28 , 6 , 6 , 2 , 2 ,ge2
29 , 6 , 6 , 2 , 2 ,te1
30 , 6 , 6 , 2 , 2 ,te2
31 , 7 , 7 , 2 , 3 ,IPMI
32 , 7 , 7 , 2 , 3 ,ge1
33 , 7 , 7 , 2 , 3 ,ge2
34 , 7 , 7 , 2 , 3 ,te1
35 , 7 , 7 , 2 , 3 ,te2
36 , 8 , 8 , 2 , 4 ,IPMI
37 , 8 , 8 , 2 , 4 ,ge1
38 , 8 , 8 , 2 , 4 ,ge2
39 , 8 , 8 , 2 , 4 ,te1
40 , 8 , 8 , 2 , 4 ,te2
Done -  Sat Feb 14 18:30:39 2015
